Name,Team,PlayerId
Mikey York,,sa918008
Zach Peek,BAL,sa3014469
Tony Dibrell,NYM,sa3004657
Marcel Rentería,NYM,sa3005016
Jordan Humphreys,,sa875762
Alex Valverde,NYM,sa3005207
Logan Verrett,,12905
Aaron Blair,,14934
Tyler Ivey,HOU,20237
Wil Jensen,SFG,sa3014786
Steven Moyers,,sa920718
Ricky Vanasco,TEX,sa3004863
Chandler Shepherd,,16166
Carmen Mlodzinski,PIT,sa3014505
Faustino Carrera,,sa917740
Mason Erla,LAA,sa3017685
Zach McCambley,MIA,sa3014478
Austin Bergner,DET,sa3011122
Austin Warner,,sa3004494
Jeffrey Colon,NYM,sa3006421
James McArthur,PHI,sa3007715
Connor Lunn,STL,sa3011189
Nick Bennett,MIL,sa3011410
Robinson Pina,LAA,sa3003123
Brandon Knarr,MIL,sa3015005
Jack Leftwich,CLE,sa3018169
Royber Salinas,OAK,sa3009243
Coleman Crow,LAA,sa3015142
Jake Lyons,BAL,sa1055560
Troy Miller,NYM,sa3008453
Stephen Kolek,SEA,sa3007990
Miller Hogan,TBR,sa3007806
Adam Leverett,PHI,sa1169991
Justin Lasko,,sa1052944
Emilio Vargas,,sa736761
Mario Sanchez,,sa691863
Keyshawn Askew,TBR,sa3017916
Brandon Gold,,sa872724
Domingo Gonzalez,ATL,sa3007495
Nick Zwack,SFG,sa3017867
Nathan Wiles,TBR,sa3010307
Seth Frankoff,,11346
Noah Cameron,KCR,sa3018097
Ryan Kellogg,,sa658192
Dylan Baker,,sa658002
Wyatt Short,,sa874187
Oscar De La Cruz,,sa737037
Chris Ellis,,16125
Kyle Hurt,LAD,sa3016453
Zach King,MIA,sa3011592
Nathan Kirby,,sa874754
Clay Buchholz,,3543
Matthew Kent,,sa875610
Chance Kirby,DET,sa3007200
Elvin Rodriguez,TBR,20962
Brett Kerry,LAA,sa3017390
Shane Drohan,BOS,sa3014447
Justin Armbruester,BAL,sa3017548
Brian Keller,,sa918951
Lake Bachar,SDP,sa917993
Brandon Lawson,,sa918264
Andrew Hoffmann,KCR,sa3017202
Dustin Beggs,,sa829242
Jesus Vargas,,sa877526
Randy Rodriguez,SFG,sa3006366
Gerson Garabito,,sa737361
Adrian Alcantara,KCR,sa974592
Scott Moss,,sa738902
Alec Kisena,,sa875686
Hector Noesí,,3292
Matt Milburn,,sa913084
Colton Gordon,HOU,sa3019426
Ben Krauth,,sa918347
Ronald Herrera,WSN,15688
Jaime Arias,CLE,sa3014789
Juan Hillman,,sa874796
Jose Bravo,,sa923839
Oscar Rojas,NYM,sa3005098
Cristian Mena,CHW,sa3015302
Matt Frisbee,SFG,sa3006801
Tyler Phillips,PHI,sa875646
David Hill,,sa658377
Deyni Olivero,ARI,sa917869
Jesús Castillo,,sa657701
Kevin Smith,BAL,sa3007710
Matteo Bocchi,,sa3010573
Yoendrys Gómez,NYY,sa3004650
Mike Foltynewicz,,10811
Mason Hickman,CLE,sa3015033
Kyle Friedrichs,,sa875229
Jon Lester,,4930
Mike Vasil,NYM,sa3017915
Luc Rennie,,sa658278
Jerad Eickhoff,,12664
Cam Sanders,CHC,sa3008067
Andrew Moore,,17553
Asher Wojciechowski,,10836
Wade LeBlanc,,5221
Taylor Varnell,,sa3006806
Harol González,,sa828505
Connor Jones,,sa738697
Austin Bibens-Dirkx,,9559
Alex Sanabia,,5350
Tyler Alexander,,sa738376
Lewis Thorpe,,15906
J.B. Olson,CHW,sa3002779
Kaleb Roper,CHW,sa3010110
Odrisamer Despaigne,,16017
Misael Tamarez,HOU,sa3009632
Jerry Keel,,sa856543
Mason Black,SFG,sa3018146
Austin Hansen,HOU,sa3006956
Dylan File,,sa3004197
Cesar Gomez,HOU,sa3014799
Jack Leiter,TEX,sa3018053
Geison Urbaez,TOR,sa3015135
David Griffin,NYM,sa3015136
DJ Herz,CHC,sa3011680
Matt Tabor,ARI,sa3005334
Logan Rinehart,SEA,sa3010255
Mitch Stallings,,sa3007835
Antoine Kelly,TEX,sa3011135
Blas Castano,NYY,sa3006617
Steven Fuentes,,sa828326
Tyler Eppler,,sa829043
Peyton Remy,CHC,sa3005302
Julio Robaina,HOU,sa3006817
Sam Bachman,LAA,sa3017261
Jose Chacin,NYM,sa917323
Taylor Ahearn,,sa3004485
Daniel Gossett,,16164
Kohl Simas,CHW,sa3016949
Will Dion,CLE,sa3017850
Joseph Hernandez,,sa3006385
James Marvel,,19675
Tim Cate,WSN,sa3007926
Gabe Mosser,SDP,sa3006834
Noah Skirrow,PHI,sa3014845
Garrett Schoenle,CHW,sa3016937
Noel Vela,SDP,sa3005177
Luis Devers,CHC,sa3005694
Tommy Romero,WSN,23465
Kyle Virbitsky,,sa3017491
Dylan Smith,DET,sa3018113
Jack Owen,OAK,sa3017490
Matt Svanson,TOR,sa3017070
Cole Gordon,NYM,sa3011216
Luis Lugo,,sa597249
Jackson Wolf,SDP,sa3017384
Jaylen Nowlin,MIN,sa3017978
Cole Wilcox,TBR,sa3014443
Tim Melville,,9149
Ryan Carpenter,,12699
Grant Holman,OAK,sa3017749
Edwin Jackson,,1841
Sem Robberse,TOR,sa3011735
Matt Sauer,NYY,sa3005118
Noah Murdock,KCR,sa919012
Lael Lockhart,LAD,sa3017502
Humberto Mejía,,20739
Alejandro Requena,,sa828724
Christian Scott,NYM,sa3017948
Jake Walters,MIA,sa915852
Henry Henry,SDP,sa918121
Brandon Finnegan,,16208
Nolan Watson,SDP,sa874732
Matt Waldron,SDP,sa3010111
Marcelo Martinez,KCR,sa3005060
Travis Adams,MIN,sa3017991
Noah Zavolas,,sa3006770
Seth Johnson,BAL,sa3011342
Anderson Munoz,NYY,sa3007840
Andrew Alvarez,WSN,sa3017531
Bryce Jarvis,ARI,sa3014437
Zack Trageton,,sa918087
Junior Santos,NYM,sa3005470
Ty Damron,,sa738284
Bryan Woo,SEA,sa3018290
Kyle Kubat,,sa827380
David Festa,MIN,sa3017788
Garrett Davila,,sa875052
Garrett Burhenn,DET,sa3018173
Carlos Luna,MIN,sa828727
Adam Kloffenstein,TOR,sa3008578
Braden Olthoff,LAA,sa3017654
Beck Way,KCR,sa3014462
Jesus Rodriguez,,sa871769
A.J. Block,KCR,sa3014916
Eric Skoglund,,16155
Jon Duplantier,,19546
Adam Macko,TOR,sa3011555
Trevor McDonald,SFG,sa3011835
Carlos Guzman,DET,sa871477
Colin Peluse,OAK,sa3011126
Angel Macuare,HOU,sa3003039
Blake Battenfield,,sa3002734
J.J. Niekro,ATL,sa3017129
Tink Hence,STL,sa3014709
Austin Love,STL,sa3017609
Tekoah Roby,TEX,sa3014519
Caleb Boushley,MIL,sa3004226
Ian McKinney,,sa738318
Tyler Santana,CHC,sa3017542
Anthony Veneziano,KCR,sa1115745
Tanner Burns,CLE,sa3014451
Zack Godley,,14862
Jeff Lindgren,MIA,sa3010632
Richard Guasch,WSN,sa3008434
Jake Miednik,,sa3007242
Jeremy Hellickson,,4371
Charlie Neuweiler,KCR,sa3004345
Josh Stephan,TEX,sa3015286
Luke Little,CHC,sa3014514
Dalton Roach,STL,sa3010567
Patrick Wicklander,TBR,sa3017304
Alejandro Melean,TOR,sa3006815
Dominic Hamel,NYM,sa3017949
Seth Lonsway,SFG,sa3017857
Ronnie Williams,,sa828702
T.J. Zeuch,COL,19269
Kyle Hart,,19646
Rito Lugo,KCR,sa3008237
Reilly Hovis,,sa857700
Chandler Champlain,KCR,sa3018138
Brady Basso,OAK,sa1115881
Alvaro Seijas,,sa861440
Mike Fiers,,7754
Jean Pinto,BAL,sa3011803
Ben Brecht,TBR,sa3011218
Kyle Leahy,STL,sa3007241
Ross Carver,CLE,sa3017069
Chih-Jung Liu,BOS,sa3014675
Rodney Boone,CLE,sa3018107
Tyler Gilbert,ARI,17964
Colby Morris,,sa3014805
Pierson Ohl,MIN,sa3017977
Logan Salow,LAD,sa874231
Ethan Lindow,PHI,sa3005028
Joe Boyle,CIN,sa3014498
Chase Solesky,CHW,sa3009940
Paxton Schultz,TOR,sa3010626
River Ryan,LAD,sa3016863
Erik Sabrowski,CLE,sa3015121
Logan Gragg,STL,sa3010306
Robby Ahlstrom,TEX,sa3018193
Richard Gallardo,CHC,sa3009990
Mitch Ragan,,sa3009944
David Parkinson,PHI,sa3004857
Jordan Jackson,SEA,sa3018172
John Rooney,LAD,sa3008417
Zane Mills,STL,sa3017535
Richard Fitts,NYY,sa3018182
Jordan Marks,DET,sa3018192
Brent Killam,LAA,sa3014927
Jamison Hill,ARI,sa3017935
Thomas Eshelman,,18361
Brett Kennedy,,17877
Jack Perkins,PHI,sa3007713
Justin Fall,MIA,sa3017540
Lazaro Estrada,TOR,sa3005471
Sean Sullivan,PIT,sa3018185
Ben Peoples,TBR,sa3011784
Asa Lacy,KCR,sa3014423
Dario Agrazal,,15821
Cruz Noriega,KCR,sa3005702
Logan Shore,,sa738442
Drew Parrish,KCR,sa3011395
Dahian Santos,TOR,sa3015282
Doug Nikhazy,CLE,sa3018110
Josh Hendrickson,PHI,sa3011196
Hunter Dollander,CHW,sa3019302
Victor Vargas,PHI,sa3007724
Mark Moclair,,sa3007592
Pedro Payano,,18313
Troy Watson,TOR,sa3007249
Keider Montero,DET,sa3002956
Wyatt Olds,BOS,sa3017539
Ryne Moore,MIL,sa3017725
Chad Donato,,sa919112
Dillon Overton,,15627
Ian Clarkin,,sa737534
JJ Goss,TBR,sa3011420
Chris Vallimont,,sa3008026
Luis Quinones,TOR,sa1170867
Edgar Sanchez,MIA,sa3011131
Matthew Thompson,CHW,sa3011866
Dan Straily,,9460
Casey Legumina,CIN,sa3014849
Ryan Costeiu,LAA,sa3017260
Tyler Uberstine,BOS,sa3017643
Alex Cornwell,STL,sa3017501
Domingo Robles,,sa872881
Ryan Bergert,SDP,sa3017418
Mac Lardner,OAK,sa3014928
Logan Workman,TBR,sa3017313
Vance Worley,,6435
Jorge Juan,OAK,sa3005826
Austin Cox,KCR,sa3007777
Luis Moreno,NYM,sa3009950
Adrian Chaidez,HOU,sa3017417
Mikell Manzano,SFG,sa3015441
Tyler Joyner,BAL,sa3006836
Carlos Duran,LAD,sa3006404
Yusniel Padron-Artiles,BOS,sa3008040
Victor Castaneda,MIL,sa978399
Ryan Lillie,,sa3004740
Nick Mondak,LAA,sa3017274
Tyler Brown,HOU,sa3014450
Nick Krauth,TEX,sa3015006
Joe Rock,COL,sa3017755
Blair Henley,HOU,sa3011335
Micah Kaczor,COL,sa3011732
Jason Vargas,,8044
Emiliano Teodo,TEX,sa3015158
Gabe Bierman,MIA,sa3016939
Iván Nova,COL,1994
Nate Harris,,sa3004772
Ray Gaither,HOU,sa3017270
Bryan Garcia,,19457
Sean Mooney,MIN,sa3014913
Andrew DiPiazza,,sa3015078
Rhett Kouba,HOU,sa3017544
Connor Cooke,TOR,sa3017822
Jared Jones,PIT,sa3014459
Marcos Tineo,ARI,sa3003124
Parker Dunshee,OAK,sa873274
Carson Ragsdale,SFG,sa3014922
Porter Hodge,CHC,sa3011729
Juan Zapata,CLE,sa3005452
Jeff Samardzija,,3254
Reid Johnston,CLE,sa3018183
Justin Jarvis,MIL,sa3007775
Gray Fenter,,sa875233
Breiling Eusebio,,sa828552
Colton Eastman,PHI,sa3008312
John Stankiewicz,MIN,sa3016001
Peter Van Loon,BAL,sa3017543
Franklin Parra,,sa3008461
Dalton Stambaugh,CHC,sa3011252
Jose Espada,SDP,sa875064
Alfredi Jimenez,HOU,sa3006479
Avery Short,ARI,sa3011712
Evan Fitterer,MIA,sa3011433
Andrew Quezada,COL,sa3009858
Dilmer Mejia,,sa828518
Inohan Paniagua,STL,sa3006417
Scott Randall,PIT,sa3017752
Chase Chaney,LAA,sa3010369
Jordan Fowler,PHI,sa3017777
Joey Estes,OAK,sa3011637
Jose Salvador,LAA,sa3006482
Justin Bullock,MIL,sa3005213
TJ Shook,MIL,sa3014915
Duncan Snider,SDP,sa3019695
Luis Reyes,WSN,sa737048
Matt Walker,DET,sa1169914
Chad Patrick,ARI,sa3017933
Blake Beers,OAK,sa3018004
Jordan Carr,MIN,sa3017769
Daniel Federman,BAL,sa3017460
Garrett Hawkins,SDP,sa3017383
Daniel Palencia,CHC,sa3015122
Eduardo Salazar,CIN,sa3003131
Rafael Kelly,,sa3002917
Ignacio Feliz,BAL,sa3002982
Derek Casey,CHC,sa3008259
Heitor Tokar,HOU,sa3005683
Yu-Min Lin,ARI,sa3019278
Michael Mariot,DET,10835
Brayan De Paula,HOU,sa3005070
Juan Pablo Lopez,HOU,sa3004647
Chase Walter,SDP,sa3015112
Alfonso Hernández,WSN,sa917812
Michael Baird,COL,sa3006810
Tommy Sommer,CHW,sa3016906
Braxton Ashcraft,PIT,sa3008470
Ronan Kopp,LAD,sa3017751
Ben Braymer,,20175
Dante Biasi,KCR,sa3010647
Luis Moncada,,sa873694
Jackson Rutledge,WSN,sa3011338
Grant Gambrell,BOS,sa3011129
Tommy Parsons,STL,sa3007624
Connor Van Scoyoc,LAA,sa3010243
Franklin Sanchez,MIA,sa3015157
Efrain Contreras,SDP,sa3005692
Nick Swiney,SFG,sa3014542
CJ Van Eyk,TOR,sa3014713
Lucas Knowles,WSN,sa3011676
Garrett Schilling,COL,sa3004770
Sam McWilliams,,sa829124
Trenton Wallace,TOR,sa3017748
Garrison Bryant,,sa918939
Hunter Dobbins,BOS,sa3018275
Larson Kindreich,TEX,sa3017505
Julian Aguiar,CIN,sa3017763
Dan Metzdorf,,sa3010117
Joelvis Del Rosario,OAK,sa3008486
Tobias Myers,MIL,sa918088
Antonio Jimenez,TBR,sa3008074
Diosmerky Taveras,HOU,sa3004872
Mitch Bratt,TEX,sa3017719
Kyle Glogoski,CIN,sa3007464
Cody Mincey,MIA,sa3016707
Jonah Scolaro,CHW,sa3019817
Sam Carlson,SEA,sa3005015
Jared Kelley,CHW,sa3014471
Cody Deason,HOU,sa3007958
Juan Daniel Encarnacion,BOS,sa3008697
Wilfredo Pereira,,sa917136
Rylan Kaufman,KCR,sa3008588
Franco Aleman,CLE,sa3018178
Daison Acosta,NYM,sa944989
Christian Fernandez,OAK,sa917688
Jeff Criswell,COL,sa3014435
Hunter Gregory,TOR,sa3017754
Ben Anderson,TEX,sa3010560
Jackson Jobe,DET,sa3018054
Carlos Rodriguez,MIL,sa3018116
Christian Mejias,MIL,sa946165
Joel Valdez,NYY,sa3011397
Jordi Martinez,PHI,sa3006141
Rafael Marcano,PHI,sa3008330
Ryan Gusto,HOU,sa3011818
James Gonzalez,OAK,sa3011609
Justin Nicolino,,11754
Bryan Pope,STL,sa3017532
Zarion Sharpe,MIN,sa3015073
Kevin Magee,,sa3006829
Edinson Batista,HOU,sa3009266
Marco Raya,MIN,sa3014550
M.D. Johnson,MIA,sa3010364
Eric Cerantola,KCR,sa3017914
Bryce Bonnin,CIN,sa3014453
Nick Davila,DET,sa3014980
Wilkel Hernandez,DET,sa918026
Carlos Tavera,BAL,sa3017536
Michael Dominguez,TOR,sa3011198
Brett Conine,HOU,sa3008024
Kevin Folman,CHW,sa3008462
Peniel Otano,ARI,sa3016751
Jorge Bautista,ATL,sa3008406
Felipe De La Cruz,NYM,sa3016065
Jimmy Kingsbury,SEA,sa3016838
Aaron Shortridge,PIT,sa3006759
Ryan Garcia,TEX,sa3011190
Adrian Florencio,PIT,sa3010569
Hunter Perdue,,sa3016905
Edgar Escobar,STL,sa3007244
Joe Elbis,ARI,sa3015216
Conner Nurse,SFG,sa3007214
Juan Carela,NYY,sa3009237
Chase Petty,CIN,sa3017963
Wikelman Gonzalez,BOS,sa3008687
Reggie Lawson,,sa917951
Dane Acker,TEX,sa3014924
Anthony Solometo,PIT,sa3018259
Alexander Vizcaíno,,sa920272
Javier Atencio,NYM,sa3009602
Aaron Brown,HOU,sa3017500
Valentin Linarez,PIT,sa3006557
Hyun-il Choi,LAD,sa3009992
Bodi Rascon,SDP,sa3011849
Dustin Saenz,WSN,sa3017610
Gerald Garcia,OAK,sa1172141
Jaison Vilera,,sa917752
Winston Santos,TEX,sa3015952
Ryan Webb,CLE,sa3018280
Cooper Benson,TOR,sa3019457
Dwayne Matos,SDP,sa3009508
Javi Rivera,CIN,sa3018184
Yilber Diaz,ARI,sa3016055
Jake Wong,CIN,sa3008100
Jose Cabrera,ARI,sa3018042
Abdiel Mendoza,TOR,sa916829
Jake Miller,CLE,sa3018171
Matt Mikulski,SFG,sa3017874
Aaron Davenport,CLE,sa3017615
AJ Smith-Shawver,ATL,sa3017690
Max Lazar,MIL,sa3005163
Josue Panacual,NYY,sa3010568
Christian Roa,CIN,sa3014477
William Fleming,KCR,sa3017314
Rodney Theophile,WSN,sa3008228
Noah Gotsis,COL,sa3011844
Mitchell Parker,WSN,sa3014973
Osvaldo Berrios,OAK,sa3004702
Zach Messinger,NYY,sa3018093
Wilton Castillo,SDP,sa3015310
Chen Zhong-Ao Zhuang,OAK,sa3018174
Nick Sinacola,SFG,sa3017862
Gavin Collyer,TEX,sa3011742
Jeremy Wu-Yelland,BOS,sa3014520
Adrian Quintana,SEA,sa3016465
Bradley Blalock,BOS,sa3011809
Stevie Emanuels,OAK,sa3014698
Kendall Williams,LAD,sa3011674
Joander Suarez,NYM,sa3008263
Zac Kristofak,LAA,sa918918
Stiven Cruz,MIL,sa3015938
Jonatan Bernal,KCR,sa3009271
Tyson Guerrero,KCR,sa3017140
Joseph Salazar,,sa3002984
Carlos Guarate,OAK,sa3006127
Alex Ayala Jr.,TBR,sa3017141
Robert Colina,NYM,sa3006133
Tyler Schlaffer,CHC,sa3011815
Seth Corry,SFG,sa3004648
Trent Baker,STL,sa3017504
Landon Leach,,sa3005243
Alexander Cornielle,MIL,sa3011779
Po-Yu Chen,PIT,sa3014699
McCade Brown,COL,sa3017812
Angel Bastardo,BOS,sa3009716
Jordano Perez,ATL,sa3008690
Connor Curlis,CIN,sa3006707
Cristian Hernandez,PHI,sa3005836
Alejandro Hidalgo,MIN,sa3015151
Reid Birlingmair,,sa3007473
Shane Davis,BAL,sa3015007
Ivan Oviedo,TEX,sa3016038
Russell Smith,MIL,sa3018191
Rafael Sanchez,TOR,sa3018362
Jawilme Ramirez,NYM,sa3016204
Chris Kachmar,CHC,sa1170503
Diomede Sierra,ARI,sa3009586
Frank Mozzicato,KCR,sa3018242
Luis Rijo,,sa916950
Thomas Farr,CIN,sa3017720
Jesus Gonzalez,SDP,sa3006069
Chris Mokma,MIA,sa3011750
Mitchell Kilkenny,COL,sa3010119
Brendan Collins,WSN,sa3017549
Yorlin Calderon,NYY,sa3010371
Marco Estrada,,1118
Joel Díaz,NYM,sa3015500
Joe Kemlage,SFG,sa3017825
Brooks Gosswein,CHW,sa3017315
Sandro Bargallo,MIA,sa3009639
Steve Hajjar,CIN,sa3018177
Nick Belzer,,sa1172214
Will Bednar,SFG,sa3017844
Luinder Avila,KCR,sa3006507
Houston Roth,BAL,sa3011527
Luis Peralta,PIT,sa3005843
Marco Jimenez,DET,sa3002926
Sam Weatherly,COL,sa3014455
Jorge Marcheco,LAA,sa3018025
Jimmy Endersby,HOU,sa3014921
Justin Meis,PIT,sa3017207
Kobe Robinson,SDP,sa3017764
Conor Grady,BAL,sa3017534
Lyon Richardson,CIN,sa3007727
Aldo Ramirez,WSN,sa3005371
Max Bain,CHC,sa3014932
Josh Wolf,CLE,sa3011638
Nicio Rodriguez,NYY,sa3011194
Gabriel Jackson,BOS,sa3009463
Manuel Urias,HOU,sa3007606
Michael Morales,SEA,sa3017783
Juan Diaz,MIA,sa3003065
Randy Wynne,CIN,sa3010144
Kendry Rojas,TOR,sa3016746
Jake Smith,LAA,sa3017258
Luke Albright,ARI,sa3017592
Grant Kipp,CHC,sa3020185
Valente Bellozo,HOU,sa3006119
Tommy Mace,CLE,sa3018140
Chad Dallas,TOR,sa3018180
Eric Silva,SFG,sa3017965
Alfred Vega,BAL,sa3006495
James Proctor,CIN,sa3014804
Jack Kochanowicz,LAA,sa3014539
Luis Vargas,ATL,sa3009592
Miguel Ullola,HOU,sa3016504
Joey Walsh,LAA,sa3017194
Chris McMahon,COL,sa3014429
Luke Anderson,OAK,sa3017984
Connor Lehmann,,sa3010554
Daiveyon Whittle,TBR,sa3007617
Mitch Myers,OAK,sa3018179
Hector Yan,,sa917194
Samuel Strickland,ATL,sa3017139
Blane Abeyta,NYY,sa3014975
Trenton Denholm,CLE,sa3018139
Sean Hermann,NYY,sa3019429
Matt Merrill,WSN,sa3004364
Wyatt Sparks,TEX,sa1119694
Connor Gillispie,BAL,sa1169801
Eiberson Castellano,PHI,sa3015414
Mike Ruff,COL,sa3011125
Victor Lizarraga,SDP,sa3015220
Manuel Espinoza,CHC,sa3010242
Yehizon Sanchez,OAK,sa3011574
Reidis Sena,BOS,sa3009626
Zach Mort,,sa3008172
Seth Shuman,WSN,sa3011187
Huei-Sheng Lin,,sa3010249
Kohl Franklin,CHC,sa3008335
Lorenzo Encarnacion,ARI,sa3015498
Mason Albright,LAA,sa3017847
Develson Aria,MIN,sa3008726
Holt Jones,MIA,sa3017368
Jeremiah Burke,CHW,sa3010143
Calvin Ziegler,NYM,sa3018142
Yeury Tatiz,SEA,sa3005812
Luis Valdez,LAD,sa3015974
Will Ethridge,COL,sa3011337
Jose Dicochea,OAK,sa3011497
Jarlin Susana,WSN,sa3018808
Dylan Burns,CHW,sa3018793
Carlos Jimenez,PIT,sa3008711
Raul Rangel,BAL,sa3015212
Matt Russell,PHI,sa3017256
Ronny Garcia,HOU,sa3003030
Ben Hernandez,KCR,sa3014541
Jared Johnson,ATL,sa3011626
Mike Paredes,MIN,sa3017968
Zack Matthews,HOU,sa3017918
Rafael Ohashi,TOR,sa3015040
Tomas Cleto,MIN,sa3016009
Hancel Rincon,STL,sa3009629
Tyler Dyson,WSN,sa3011432
Jordan Mikel,CHW,sa3015094
Evan Shawver,COL,sa3017780
Naswell Paulino,TOR,sa3002998
Case Williams,COL,sa3015013
Jesus Lugo,SDP,sa3009509
Elmer Rodriguez-Cruz,BOS,sa3019459
Sam Thoresen,CHC,sa3014920
Bubba Chandler,PIT,sa3017428
Dheygler Gimenez,OAK,sa3011879
Cullen Kafka,COL,sa3017818
Rainiery Rodriguez,ATL,sa3007903
Dameivi Tineo,MIA,sa3017726
Oswald Medina,PHI,sa3015928
Jose Atencio,WSN,sa3010304
Diorys Guerrero,STL,sa3009503
Luis Perales,BOS,sa3014677
Levi Thomas,SDP,sa3014801
Dionys Rodriguez,STL,sa3005877
Ulices Campos,DET,sa3015997
Logan Boyer,LAD,sa3015002
Kris Anglin,DET,sa3017612
Nick Garcia,COL,sa3014501
Jean Cabrera,PHI,sa3015433
Aaron Phillips,,sa3004747
Pablo Aldonis,WSN,sa3018289
Yon Castro,LAD,sa3005848
Michael Cuevas,WSN,sa3011437
Yoniel Curet,TBR,sa3015446
Yaifer Perdomo,ARI,sa3009484
Jairo Iriarte,SDP,sa3010798
Gabriel Cotto,PHI,sa3007934
Ryley Widell,COL,sa3005099
Ben Casparius,LAD,sa3017886
Samuel Aldegheri,PHI,sa3015152
Kevin Holcomb,,sa3011247
Pedro Santos,OAK,sa1171936
Anderson Amarista,COL,sa917061
Juan Nunez,BAL,sa3015464
Breidy Encarnacion,MIA,sa3009205
Yondrei Rojas,TOR,sa3016783
Freisis Adames,,sa916725
Deylen Miley,HOU,sa3017366
Lenny Torres,CLE,sa3008329
Brendan Murphy,,sa3004961
Mason Denaburg,WSN,sa3010648
Carlos Calderon,HOU,sa3009713
Manuel Mercedes,SFG,sa3015214
Dylan Castaneda,,sa3011731
Josh Gessner,TEX,sa3011658
Juan De Los Santos,BAL,sa3010808
Manuel Castro,SDP,sa3017493
Yonael Dominguez,STL,sa3009750
Alex Santos II,HOU,sa3014684
Helcris Olivarez,COL,sa3002965
Manuel Veloz,CHW,sa3011349
Cristofer Mezquita,HOU,sa3006374
Jerming Rosario,LAD,sa3008678
Gabriel Barbosa,COL,sa3009593
Edgardo Ibarra,DET,sa3015348
Alexander Vallecillo,MIL,sa3016034
Jose Morban,,sa885669
Wardquelin Vasquez,CLE,sa3006502
Grant Judkins,OAK,sa3015004
Jhoan Cruz,MIL,sa3006512
Gunner Mayer,PHI,sa3011199
Andry Lara,WSN,sa3014716
Irv Carter,TOR,sa3019239
Hsin-Chieh Lin,,sa3008535
Fernando Guanare,LAA,sa3015496
Edgardo Henriquez,LAD,sa3009613
Mason Green,COL,sa3017717
Dominic Pipkin,PHI,sa3007896
Jose Ramirez,BOS,sa3006702
Douglas Orellana,NYM,sa3016817
Aidan Curry,TEX,sa3015334
Elvis Garcia,HOU,sa3015360
Martin Carrasco,CHW,sa3002791
Deivy Cruz,BAL,sa3016013
Ryan Long,BAL,sa3017616
Alonzo Richardson,CLE,sa3015333
Josh Swales,ARI,sa3017753
Ben Kudrna,KCR,sa3018253
Jarrod Cande,COL,sa3017813
D.J. McCarty,TEX,sa3015222
Bryan Caceres,WSN,sa3005687
Edwin Jimenez,MIL,sa3010800
Starlyn Castillo,PHI,sa3011608
Shane Panzini,KCR,sa3018257
Eduar Segovia,PHI,sa3008374
Gabriel Aguilera,CIN,sa3009494
Brian Rapp,,sa3007709
Elian Rodriguez,,sa3004715
Victor Juarez,COL,sa3016226
Jose Davila,STL,sa3015092
Juan Reynoso,MIA,sa3017790
Nicolo Pinazzi,CIN,sa3015335
Estibenzon Jimenez,PHI,sa3015983
Benony Robles,LAD,sa3006135
Moises Chace,BAL,sa3015346
Keegan James,COL,sa3011232
Fernando Olguin,MIL,sa3008571
Michael Arias,CHC,sa3017036
Adam Shoemaker,ATL,sa3017888
Alberto Pacheco,COL,sa3015421
Julio Goff,LAA,sa3009247
Peter Heubeck,LAD,sa3017936
Nick Bitsko,TBR,sa3014476
Jose Acuna,CIN,sa3015331
Israel Puello,MIL,sa3006113
Arielbi Gonzalez,MIL,sa3016800
Andrew Dalquist,CHW,sa3011841
Brock Jones,ARI,sa3011783
Darlin Pinales,LAD,sa3016211
Ernesto Jaquez,CHW,sa3004869
Jose Jimenez,CHW,sa3011595
Bryant Salgado,HOU,sa3017364
Miguel Pozo,NYY,sa3016581
Jeferson Figueroa,MIL,sa3016811
Manuel Olivares,COL,sa3009471
Miguel Mora,SFG,sa3015985
Wilber Dotel,PIT,sa3015163
Jason Parker,,sa3014976
Reinys Portillo,,sa3009227
Yujanyer Herrera,MIL,sa3015370
Nic Swanson,HOU,sa3017551
Noah Owen,CHW,sa3017272
Maddux Bruns,LAD,sa3017782
Kevin Abel,CIN,sa3017879
Gabriel Torres,,sa3015447
Harol Arias,BAL,sa3015347
Brailin Rodriguez,MIL,sa3009238
Nomar Medina,SFG,sa3015372
Jordy Vargas,COL,sa3016052
Gabriel Reyes,DET,sa3016833
Hansel Rincon,ARI,sa3015450
Darlin Alcantara,BAL,sa3011436
Raynel Moron,,sa3015480
Roberto Monegro,SFG,sa3008766
Nathanael Cruz,BOS,sa3016457
Juan Rojas,BAL,sa3016285
Ryan Cardona,CIN,sa3017470
Luis Vega,HOU,sa3009830
Dualvert Gutierrez,CIN,sa3015452
Eliander Alcalde,TOR,sa3016519
Miguel Rondon,SDP,sa3006068
Kikito Severino,TBR,sa3016030
Yerlin Rodriguez,MIL,sa3015362
Brayan Castillo,COL,sa3006544
Koen Moreno,CHC,sa3014509
Liam Norris,ARI,sa3014543
Jordarlin Mendoza,NYY,sa3017321
Geralmi Santana,NYY,sa3016462
Cristian Jimenez,,sa3017614
Cesar Lares,MIN,sa3019384
Allen Facundo,NYY,sa3016071
Jedixson Paez,BOS,sa3016264
Tyrone Yulie,NYY,sa3010246
Sonny Vargas,,sa3006163
Cesar Alvarez,BAL,sa3015418
Benjamin Arias,STL,sa3008724
Edwar Polimir,NYY,sa3017552
Tanner Cooper,CIN,sa1170930
Tony Locey,COL,sa3011123
